summary,city,state,date_time,shape,duration,text,city_latitude,city_longitude
Saw a blue-green glowing rectangular craft streak across our field of view while driving up the eastern side of the Sierra Nevadas.,Lee Vining,CA,2008-02-27 18:00:00,rectangle,One second,"Saw a blue-green glowing rectangular craft streak across our field of view while driving up the eastern side of the Sierra Nevadas. UFO Report:  February 27, 2008, 6:00 pm at Lee Vinnings, CA   This is the second UFO sighting I have had in my 61 years. The first was when I was 15 in New Jersey, and I will report that another time.   However, this more recent on was last year in 2008, occurring in Lee Vinning, CA, on Feb. 27th, around 6:00pm  as my wife and I were driving north on Hwy. 395.  I have to estimate the time because it was just starting to get a bit dark, and we were probably a bit north of Lee Vinning as well, but this is the general time and place.  I remember the date exactly because we were driving from Georgia to my son’s wedding on the 29th of Feb. in Fremont, CA. two days later.  Also, the reason I wanted to report it now is because I saw the exacted same thing a few nights ago on the History Channel’s program UFO Hunters.  They had a sighting around 3am around Needles, CA of a blue-green glowing rectangular craft streaking across the sky and coming down, which was later picked up by 4 military helicopters and taken away still glowing.  This occurred only three months later in May of 2008. As I was saying, my wife and I both saw this blue-green glowing rectangle streak across our field of view in front of us from West to East, or left to right, since we were heading north.  It took about 2 seconds, maybe only one actually to cross our field of view and it was gone.  I was amazed to have seen such a thing and do not believe it was a meteor because of the unusual color and rectangular shape.  Also, it appeared to be arching upward rather than down.  I guess we assumed it was a secret Air Force vehicle, being that Edwards and Area 51 were not that far from us.  But after the UFO Hunters story, I feel as though I would like to add my sighting to your files. As an artist, I did a quick drawing of our sighting in Photoshop and my wife just now confirmed that this is what she also saw that night last year.  I will attempt to attach the drawing to this report.",37.989,-119.1234
Low-altitude disk flying slowly red lights around perimeter.,Redondo Beach,CA,1979-01-01 20:00:00,disk,15 sec.,"Low-altitude disk flying slowly red lights around perimeter. I saw a disk fly directly over me at an altitude of about 50 ft. and a speed of about 10-20 mph, travelling from west to east.  It was about 10 ft. diameter, had a series of evenly spaced red lights around the perimeter, and made no sound.  The object made no changes in speed or direction during the time that I could see it.  I was around 9 at the time, and my memory of it is somewhat jumbled, but I am certain that this happened.  It was a quiet night, and the sky was overcast.  I thought at first that it was a helecopter, but it made no sound and was perfectly circular.  I think I saw a circle on the bottom of it, but otherwise it was dark.",33.8590291666667,-118.3720625
silver object hovered over the ocean,Redondo Beach,CA,2007-03-31 08:30:00,disk,15 seconds,"silver object hovered over the ocean It first moved from the north at a speed like an F-14 military jet. It then hovered for about 10 seconds over the ocean.  It was silver and then turned a bluish tint.  Then it moved across to the south at a high speed and disappeared. ((NUFORC Note:  Source of report elects to remain anonymous provides e-mail address only, which may not be valid.  PD))",33.8590291666667,-118.3720625
Circular aircraft with white/blue lights around edges and 2 red lights on opposing sides,Redondo Beach,CA,2008-08-22 22:34:00,disk,1 minute,"Circular aircraft with white/blue lights around edges and 2 red lights on opposing sides Object was circular in shape, size was unknown, but larger than regular US aircraft. There were whiteish/blue lights around edges of circle and 2 red light on opposite sides of aircraft. Object seemed to hover from side to side like motion and dropped at very fast rate as well as took off at very fast rate. From North Redondo Beach oblect was seen Northeast and continued East until unable to be seen where we were standing. Although we did manage to get video for appx. 16 secs.",33.8590291666667,-118.3720625
7-8 Craft resembling balloons on fire seen cruising off Southern California coast.  ((NUFORC Note:  In LAX flight corridor?  PD)),Redondo Beach,CA,2013-03-09 20:40:00,disk,6-7 minutes,"7-8 Craft resembling balloons on fire seen cruising off Southern California coast. Craft we're observed initially over the Pacific Ocean, in the south bay of Los Angeles at approximately 20:40 hour's, on March 10, 2013, for 7-10 minutes.   7 or 8 craft resembling balloon's on fire, moving north in loose trail formation, at approximately 300 knots.     The craft we're observed thru Fujinon binoculars, and the observer is an experienced, and life-long identifier (amateur) of aircraft types and configurations, both military and civilian.    One Craft in particular (the last one) was scrutinized closely, as it passed directly over head before heading North.  It was identical to the others, and as I watched it through the binocular's the flame's sputtered and went out to reveal a silver or white disc/saucer, with four distinct bump's on its underside.  I watched it move North, and it was clearly visible with the naked eye, until it was out of sight. All craft exhibited the same characteristic's: constant speed, identical visually, flames seemed to sputter and go out, but not all at once, but lasted for the same duration.   The weather at the time was very clear, 40-50 mile's visisbilty, and no cloud's.  Craft were at 2 miles maximum from the coast, in loose trail formation, with about 1 mile seperation between craft.   Craft appeared to be on fire, and when observed thru binocular's, it looked like lower 1/3 was on fire, and top 2/3 was billowy and white, like a balloon.  The color of the fire was dull orange, and when! I first saw it, I thought an airplane was on fire.  All craft appeared to have very similar flight plan:  they all appeared from the same location, they all went in the same direction, they seemed to be following each other.    They we're first seen appearing from Palos Verdes, and heading North, right over/around the LAX flight corridor.   Craft left no contrail's, or smoke. ((NUFORC Note:  We have amended the data above to reflect a sighting on Saturday, March 9th.  PD))",33.8590291666667,-118.3720625
7-8 Craft resembling ballon's on fire seen cruising off Southern California coast.,Redondo Beach,CA,2013-03-10 20:40:00,disk,6-7 minutes,"7-8 Craft resembling ballon's on fire seen cruising off Southern California coast. Craft we're observed initially over the Pacific Ocean, in the south bay of Los Angeles at approximately 20:40 hour's, on March 10, 2013, for 7-10 minutes. 7 or 8 craft resembling balloon's on fire, moving north in loose trail formation, at approximately 300 knots.    The craft we're observed thru &quotFujinon&quot binocular's, and the observer is an experienced, and life-long identifier( amateur) of aircraft type's and configuration's, both military and civilian.   One Craft in particular (the last one) was scrutinized closely, as it passed directly over head before heading North. &quotIt was identical to the other's, and as I watched it through the binocular's the flame's sputtered and went out to reveal a silver or white disc/saucer, with four distinct bump's on it's underside. I watched it move North, and it was clearly visible with the naked eye, until it was out of sight.&quot   All Craft exhibited the same characteristic's: constant speed, identical visually, flame's seemed to sputter and go out, but not all at once, but lasted for the same duration.  The weather at the time was very clear, 40-50 mile's visisbilty, and no cloud's. Craft we're at 2 mile's maximum from the coast, in loose trail formation, with about 1 mile seperation between craft. Craft appeared to be on fire, and when observed thru binocular's, it looked like lower 1/3 was on fire, and top 2/3 was billowy and white, like a balloon. &quotThe color of the fire was dull orange, and when! I first saw it, I thought an airplane was on fire.&quot  All craft appeared to have very similar flight plan: they all appeared from the same location, they all went in the same direction, they seemed to be following each other.   They we're first seen appearing from Palos Verdes , and heading North, right over/around the LAX flight corridor. Craft left no contrail's, or smoke.",33.8590291666667,-118.3720625
"Blue-green luninescent objects moving at a high rate of speed, producing no sound and maneuvering at incredible angles to each other.",Redondo Beach,CA,1999-11-26 17:50:00,formation,10 sec.,"Blue-green luninescent objects moving at a high rate of speed, producing no sound and maneuvering at incredible angles to each other. My neighbor and I were playing a game outside ,after scoring he thrust his arms up and said, Yes!, what the heck is that?  He directed my attention towards four bluish green luminescent objects passing overhead and traveling from east to west.  They were moving at a high rate of speed, and were maneuvering relative to one another.  At one point they came close together, then moved apart to form a v shape.  Four people, two adults and two children witnessed the event.  Also, the objects made no sound as they passed over.  It was clear with no clouds.  I am 5 miles south of LAX and we have seen many planes fly over.  We had never seen anything that could move east to west, and dart back and forth, north to south before.  The objects disappeared into the horizon to the west over the Pacific ocean.",33.8590291666667,-118.3720625
Follow up to : Blue-green luminescent objects moving at a high rate of speed,Redondo Beach,CA,1999-11-26 17:50:00,formation,10-15 seconds,"Follow up to : Blue-green luminescent objects moving at a high rate of speed I am the neighbor, as reported in the following report:  Occurred : 11/26/1999 17:50 (Entered as : 11/26/99 1750) Reported: 12/4/1999 09:24 Posted: 3/11/2003 Location: Redondo Beach, CA Shape: Formation Duration:10 sec.  Blue-green luninescent objects moving at a high rate of speed, producing no sound and maneuvering at incredible angles to each other. ---------------------------------------------------- I thought it might be worth while to give my take on the report. As stated, I had just scored (the winning shot I might add) and threw my head back, and hands up in victory, when I exclaimed What the heck is that? I saw 4  fairly dim lights if you will, bluish-green in color, tracking east to west at a pretty good clip. The speed, east to west was constant. Their speed relative to each other, varied. My first thought was they were those spotlights used for attracting attention to businesses around the area, except there were no clouds to reflect the light, nor were there any beams emanating from the ground. Lastly, spotlights travel in a set pattern, extending out from a focal point, then returning, these definitely came in from the east, and disappeared on the western horizon. Now, all the while, these four lights were not just moving east to west, but performed maneuvers similar to those of the previously mentioned spotlights. At one point, they all came together, sort of spun around each other, then separated back into a new formation. While almost directly overhead, two of them stayed stationary in the center, while the other two, (one on each side of the two stationary lights) made circles as they flew. A little hard to explain, but if you hold up two fingers on each hand, put the index fingers touching side by side, and start rotating the second fingers in opposite circles (one move clockwise, the other counterclockwise) you can get an idea of the formation as it passed overhead. Of course, the tips of your fingers will represent the lights themselves. Now remember, these varying formations are still moving at a constant speed east to west. They traveled somewhere between 3/4, and 1/2 of a persons field of view, meaning east horizon, to west horizon in just about 10-15 seconds. The speed seemed fast, yet they almost seemed to be moving in slow motion. They made no sound whatsoever, which was noted immediately, since they did not appear to be that high in the sky. I cannot guess at an altitu! de, because I don't know the actual size of the objects. If they were the size of a car, then I would guess somewhere between between 1000 to 1200 feet. (ONLY a guess)  The two children who also witnessed this are my kids, and while they were enthralled by what they were seeing, once the objects moved out of view, became very scared and clingy for a lack of a better word. They were obviously shocked by what they had seen. Like my friend said, we live close to the airport (actually 2, LAX, and the smaller Torrance airport), so we know what planes are, and the normal tell-tale signs. (shape, lights, engine noise, flight behaviors, etc.) We had to play it off in order to calm the kids down. Later that evening, after getting them calmed, in bed, and convinced the aliens were not landing tonight, I went back over to my neighbors to discuss what we had witnessed. We both agree that we don't know what we saw, but we don't want to label it, especially without any other evidence besides our own accounts. A very surreal experience.",33.8590291666667,-118.3720625
"Four Circular Objects in Formation Sighted Over the Pacific Ocean Off Redondo Beach, Calif.",Redondo Beach,CA,2004-08-23 04:45:00,formation,10 Minutes,"Four Circular Objects in Formation Sighted Over the Pacific Ocean Off Redondo Beach, Calif. I live in a house on the beach in Redondo Beach, Calif. At approximately 4:45 a.m., PST, I woke and witnessed four circular objects hovering over the Pacific Ocean to the west of my location, most likely about 3-4 miles out to sea. I observed them for several minutes, expecting them to get closer if they were airplanes. I also looked for flashing lights, simliar to those on aircraft. I could see no movement, and no lights. The objects seemed to remain stationairy, and did not move closer to my location. They appeared in formation, one lighting up at a a time. When I first caught a glimpse of them, only three appeared. Then a fourth appeared to the far north. The objects switched places several times, then slowly, one by one, the lights began to fade out, starting with the light farthest north, ending with the light farthest south. Several times the light to the north faded, then reappeared. Given the speed of the movement in which the objects changed places, I suspect they are most likely aircraft of some kind, possibly helicopters. No noise could be heard, however, and the entire event lasted only 10 minutes or so.",33.8590291666667,-118.3720625
About a dozen red flashing lights passing quietly in the night.,Redondo Beach,CA,2007-11-09 22:00:00,formation,2 Minutes,"About a dozen red flashing lights passing quietly in the night. Noticed about one-dozen red lights in a scattered formation. The formation was about one hands worth of area if you helf your hand up to the sky.  The red lights were a vibrant red, changing from a intense white/red to a red glow to no light.  The lights were not in sync and seemed to be inconsistant in their flashes.  The lights were moving towards the pacific ocean at a moderate to high speed.  There was no noise what so ever even though the lights passed directly over my head.  The formation seemed to be very tight with no specific shape or leader.  I pointed the lights out to my friend who immidiatly saw the lights.  She was a little frightend sice I had no explanation of what it is (being a aviation enthusiest myself).",33.8590291666667,-118.3720625
Three white crafts in formation- very fast- 12-20k feet - West > East Redondo Beach Approx. 9:45PM- no sound or lights,Redondo Beach,CA,2008-10-21 21:45:00,formation,5 seconds,Three white crafts in formation- very fast- 12-20k feet - West > East Redondo Beach Approx. 9:45PM- no sound or lights Saw three white objects round in shape with some contours on their sides. The objects were traveling 12-20 thousand feet from west to east. On the deck of my condo the objects were only visible for less that 5 seconds Long enough for me to point them out to my roommate. It was amazing to me that 3 objects moving so fast did not make one sound. There were so light or markings or flashes. the crafts were moving in formation but seemed to change ever so slightly in formation shape. ((NUFORC Note:  Witness elects to remain totally anonymous  provides no contact information.  PD)),33.8590291666667,-118.3720625
Several colored orbs emitting orbs moving/changing into different symmetrical shapes while in flight.,Redondo Beach,CA,2013-02-23 19:43:00,formation,4 minutes,"Several colored orbs emitting orbs moving/changing into different symmetrical shapes while in flight 7:45-7:49 pm moving east from the west (from the ocean) in redondo beach/Torrance, 7-8 multi colored orb like objects (moving in formation) performing different symmetrical formations while all moving somewhat counter clockwise and at one point lining up directly inline like a perfect stick or pencil then moving to another symmetrical shape (a right angle square).   There was a lot of open space between each orb even though they moved together.  Each orb was surrounded by 2 spinning orbs moving counter clockwise around the main orb which at a certain point only one surrounding orb would be visible then both would be visible at a certain apex of spin.  This was freaky, I live right in the air traffic zone of LAX and I saw this thing clear as day and close to the ground at roughly 200-500 feet and it was massive.  It seemed to be trailing a plane that was flying at a much higher altitude, while other planes overhead and in the area (one roughly 10-15 miles behind it) diverted back towards LAX.  I personally saw 3 large passenger jets turn back withing 5 minutes of this sighting.   Between 7:50 pm and 8:11 pm there was zero air traffic in one of the busiest international airports, airspace.",33.8590291666667,-118.3720625
"Fireball moving south to north in western sky lasting about 15 minutes, faded from sight in the distance.",San Diego,CA,2017-01-15 22:00:00,fireball,15-20 minutes,"Fireball moving south to north in western sky lasting about 15 minutes, faded from sight in the distance. At first I thought the fireball might be a meteor or an aircraft on fire.  It moved slowly south to north across the western sky.   When I first saw the fireball several small fireballs dropped and burned out as they fell.  This led me to believe it may be an aircraft that was burning, it dropped one last small fireball that burned-out, then it continued north across the sky moving at a pace similar to a plane in the distance, until it faded from sight. ((NUFORC Note:  Witness elects to remain totally anonymous provides no contact information.  PD))",32.8495788798915,-117.172097047906
Fireball objects appeared in the sky almosy serpent like movement .,San Diego,CA,2017-07-07 22:15:00,fireball,30 second,"Fireball objects appeared in the sky almosy serpent like movement . Me and my friend were sitting in the car waiting to pick up a friend.  My friend said hey look a shooting star.  I looked, and all of a sudden, this fireball like object started moving irratically, and the a second one appeared in a up down motion, and then a 3rd appeard and it moved irratacly as well.  The object formed a perfect triangle then they all moved up and down and one swooped across the sky and dissapeared and the rest did the same . It happend on the hills above otay mesa .",32.8495788798915,-117.172097047906
Red ball moving fast with white ripples coming off the object!  ((NUFORC Note:  Rocket launch from Vandenberg AFB.  PD)),San Diego,CA,2017-09-23 23:05:00,fireball,15 seconds,"Red ball moving fast with white ripples coming off the object! Red glowing ball was moving fast over the ocean in San Diego, CA.  It was heading south west. There was no tail on the object.  It did have white ripples coming off both sides of it. The ripples looked like air being moved.  The width of the ripples were huge!  The object was moving super fast.  Never seen speed like that before. ((NUFORC Note:  Rocket launch from Vandenberg AFB.  PD))",32.8495788798915,-117.172097047906
"Taking my dog out I have a great view of the Southern skies of San Diego. My wife, roommate and myself noticed 4-5 reddish fireballs in",San Diego,CA,2017-09-28 08:30:00,fireball,10 minutes,"Taking my dog out, I have a great view of the Southern skies of San Diego.  My wife, roommate, and myself noticed 4-5 reddish fireballs in the southwest skies of San Diego.  It looked like it was just a little off the coast.   The fireballs were in a triangle formation and they were not moving.  We watched for about 10 minutes and they eventually disappeared...like they just burnt out and were gone.  I saw the exact same thing 1 year before.",32.8495788798915,-117.172097047906
2 Strange bright zig zagging lights in San Diego sky on 02/01/18 at 1840 hours.,San Diego,CA,2018-02-01 18:40:00,fireball,1 minute,"2 Strange bright zig zagging lights in San Diego sky on 02/01/18 at 1840 hours. My wife daughter and I saw 2 lights in the sky that appeared to have tails.  They were light orange in color, very bright and at first they were stationary then they moved in a slow downward zig zag motion.  I have a bad picture of it and a five second video, that is very poor.  Be advised that the lights were observed from my house as I was looking East.  We live approximately 5-10 miles from Brown Field Airport in San Diego and I did leave a message with them hoping they have an answer.  The Airport is small.  Please let me know if anyone else saw this and if there's an explanation.   Thank you.  ((e-address deleted))",32.8495788798915,-117.172097047906
Literally seen a floating cloud with a flying disc glowing brighter and brighter leaving a trail throughout the sky.,San Diego,CA,2018-02-06 16:31:00,fireball,30 seconds,Literally seen a floating cloud with a flying disc glowing brighter and brighter leaving a trail throughout the sky like if it was entering our atmosphere as well as leaving towards orion's belt disappearing into space. ((NUFORC Note:  Possible result of launch of Space X rocket from Cape Kennedy?  PD)),32.8495788798915,-117.172097047906
meteor or space junk?,San Diego,CA,2020-01-29 20:10:00,fireball,2 seconds,"Meteor or space junk?  There have been several articles on the internet about a possible sighting of a fireball or space junk seen over San Diego county and Los Angeles county after 10:00pm on Wednesday night 29 January 2020.  I live in San Diego.  I did not see the event after 10:00pm but I thought i would mention there was an earlier event around 8:10pm the same night.  It also was either a large meteor or space junk?  The street I live on runs north-south.  As I was walking south a large meteor was seen while looking down the street to the south?  I didnt think much about it butI did have the thought that it seemed to be coming down slower than most meteors. I know the approxiate time because I texted my Dad at 8:17pm that I had juist seen a meteor.  Anyway, thought I would mention this.",32.8495788798915,-117.172097047906
Watched 3 UFO's all with bright orange color navigate the San Diego skies,San Diego,CA,2020-02-03 03:00:00,fireball,3-4 minutes,Watched 3 UFO's all with bright orange color navigate the San Diego skies.,32.8495788798915,-117.172097047906
White bright light coming from ball and then floated away,San Diego,CA,2020-09-20 23:00:00,fireball,Minutes,"White bright light coming from ball and then floated away Last night I fell asleep with my bedroom window open.  My neighbor has a loud screeching bird that woke me around 10:30-11pm.  So I closed my bedroom window.  After I closed and locked it, there was a bright light coming into my room.  Like a helicopter was shining it’s light right into my window.  So I got back up to look.  When I peeked through the blind, there was a white light the size of a basket ball in the air heading towards my neighbors house.  I could not see it once it passed my neighbors house.",32.8495788798915,-117.172097047906
I want answers about this n,San Diego,CA,1989-07-20 18:00:00,cone,8-10 hours,"I want answers about this n This event happened when I was around 10 years old at boyscout camp.  The event started around 1800hrs to early morning 0300hrs, there where around 150-200 boys, and a number of scout leaders, with me.   We where hiking to a creek where we where going to sleep under the stars on the creek bed.  Soon after we got to the creek, we noticed that there were large rocks being thrown into the creek.  At first, we thought that the rocks where being thrown by some of the other boys.  That was not the case, since one of the boys got hit with a good size rock.  Then we noticed that the rocks where being thrown over 100 foot trees into the creek.  With that, we decided to line up in single file and sweep the wood line.  The wood line was around 60 feet or so thick, on the other side of wood line was a large open field there was no one there.  We where all shocked.   The scoutmasters decided to bed down on the creek bed cause it was too dangerous to go back in the dark, for thee boys got hurt during the sweep of the wood line.  We where instucted to dig into the creek bed, and cover our heads with our hiking back packs to shield us from the rocks, and we went to sleep.   At some point in the night I woke and saw two object with lights, blue, green and yellow, floating off center of each other up and down. the objects where cone shaped top and bottom with three lights in the middle, one on top and one light on the bottom of the objects.  I tried scream to my scoutmaster who was next to me, but I could not speak,  I could not move, then black.  I do not rember anything after that.  I believe I have two implants [pending on x-rays]. ((NUFORC Note:  We spoke via telephone with the witness, and he seemed to us to be quite sincere, in his recounting of the incident.  We encouraged him to document the possible presence of implants in his arm, and we will proceed with investigating the case, if implants are documented by medical examination.  PD)) ((NUFORC Note:  Source of report indicates that the date is approximate.  PD))",32.8495788798915,-117.172097047906
"Cylinder object, sighted on Naval Medical Center spys on music festival for all to see.",San Diego,CA,2000-04-16 14:00:00,cylinder,35 Minutes,"Cylinder object, sighted on Naval Medical Center spys on music festival for all to see. I was at a music festival in front of the San Diego Aerospace Museum just enjoying myself and my friend put her shoulder on my arm to point out the Cylinder like object floating about 100 yards away. It was right across the street facing Southeast, right next to one of the buildings in the Naval Medical Center. The object was only about 100 feet in the air and made absolutely no movement. At about the same time some other people attending the festival began to take notice of the thing. One woman said it looked like a floating trash can. I started making my way towards the object and ran to the opposite sidewalk about 60 yards from where I was standing. The object still was in the original spot still and now I could plainly see that the bottom of the cylinder rotated in a counter-clockwise motion, and the top portion rotated clockwise. It was definitely made of a metallic material, and had a sort of box like protrusion on one side. I just sat there with my jaw gaping open and so did about 20-25 people around me. One Hispanic man was video taping it, while about 4 or 5 people were taking pictures. Then after about 30 minutes the object slowly moved around to the back of the building and was never seen again. ((NUFORC Note:  Date is approximate.  We will attempt to establish the correct date.  PD))",32.8495788798915,-117.172097047906
"We saw a silver cylindrical shaped object, like a cigar in the sky above the Corranado bridge in San Diego. It was very bright silver a",San Diego,CA,2006-09-04 12:20:00,cylinder,30 seconds,"We saw a silver cylindrical shaped object, like a cigar in the sky above the Corranado bridge in San Diego. It was very bright silver and was moving very slowly. It disappeared into thin air 30 seconds after we splooted it. ((NUFORC Note:  Witness elects to remain totally anonymous  provides no contact information.  PD))",32.8495788798915,-117.172097047906
Cylinder shaped moving slowly and no sound above  Miramar base where it sudden disappeared!,San Diego,CA,2012-07-27 07:00:00,cylinder,5 minutes,Cylinder shaped moving slowly and no sound above  Miramar base where it sudden disappeared! Cylinder shaped moving slowly and no sound above  Miramar base. ((NUFORC Note:  Witness elects to remain totally anonymous provides no contact information.  PD)),32.8495788798915,-117.172097047906
Stationary blimp like object with orange stripe seen in clouds from above.,San Diego,CA,2014-07-01 19:00:00,cylinder,1 minute,Stationary blimp like object with orange stripe seen in clouds from above. While flying over the coast of San Diego a silver blimp like object with an orange stripe across the top of it was seen sitting stationary atop and inside of a cloud.   It was seen from above.  It was not moving.  It had no wings or tail fins.  It was larger than a blimp but am unsure of size since we were flying over it.,32.8495788798915,-117.172097047906
Many bright rotations of cylinder air crafts.,San Diego,CA,2016-03-31 04:00:00,cylinder,90 minutes,"Many bright rotations of cylynder air crafts. It was about 4 or 4:30 in the north when I arrived at seaport village.  As I sat down to look at the view, I looked up and realized there was many stars.  Some were brighter than the other like a gold shiny cylinder.  As I was watching them I noticed they were moving.  Not just in one direction, in various.  There was different sizes and colors.  Two other people walked up and sat down beside and I had told them, 'do you see what I see?'  They both said yes in amazement.  I have seen other encounters with space crafts but this one was the by far most interesting.  As if they brought an army of them.",32.8495788798915,-117.172097047906
"A white cylinder, silent, not moving, then poof...gone.",San Diego,CA,2021-07-25 14:00:00,cylinder,3 minutes,"A white cylinder, silent, not moving, then poof...gone. While out for a walk on a clear, cloudless day, I noticed a pure white cylinder shaped object in the sky. It had no wings, tail, or any visible means of flying, was silent,was not moving, or was barely moving/flying at all so as to appear to be sitting still. I watched it in that exact same spot for several minutes when suddenly, it either blinked out or left at such a high rate of speed that my eyes could not track it. It reminded me of the white tic-tac object seen by pilots, shown on TV some time ago, but was not moving.",32.8495788798915,-117.172097047906
Bright yellow circle lights.,Salton City,CA,2015-07-29 22:00:00,circle,5 minutes,"Bright yellow circle lights. 4 circular shaped, bright yellowish, lights, shining and moving across the dark sky.  Lining up into one three disappears, and then the 4th also just vanishes into the sky.",33.313,-115.9515
Something high above the planes in Orange County?,Laguna Hills,CA,2007-10-07 11:00:00,disk,5 - 10 minutes,"Something high above the planes in Orange County? I am not sure what I saw. I had my daughter at the park and some balloons we released. When watching one of them drift off, I could see a sliver of something in the distance. It seamed to be really far away. I thought mabye it was the International Space station? I could not figure it out, I had my eye on it for at least 5 minutes, just watching when a plane flew by, you could clearly see that this craft was much higher than the plane. We are pretty close to Orange County airport, so we always see plane traffic. As I continued watching it, it made a very fast directional move, I lost eye contact with it. I continued looking in the same direction and saw it once again, it kind of moved side to side like a ping pong ball.  I would love to know what this was, if someone could let me know that would be great. I have never seen anything like this.",33.58965,-117.7008125
Green and red lights on craft very high in the sky.,Laguna Hills,CA,2011-12-05 05:45:00,disk,15 minutes,"Green and red lights on craft very high in the sky. going down the hill on Aliso Hills Rd. Saw a bright light.  I pulled over to get a better look.  Both my passenger and I saw something very high in the sky (it was close to the moon, you had to look straight up).  It had what looked to be a green light that was clear to see then dimmed at at times but also there were 2 red lights that were flashing.  It moved in one direction for a bit then stayed in place then it changed directions going back where it had come from.",33.58965,-117.7008125
Unknown lights observed above Laguna Hills,Laguna Hills,CA,2000-11-03 20:30:00,unknown,1-3 minutes,"Unknown lights observed above Laguna Hills Driving south into southern Orange County on the 73 fwy, I noticed, off in the distance above hills of Nellie Ranch, 6 lights that took the form of a Christmas Tree.  * * * * * * My first impression was that they were flairs dropped by the military, only I have never observed flairs dropped anywhere in Orange county before. The lights then began to fade out at a consitant rate.It reminded me of video seen of the Phoenix lights that were viewed from a distance.",33.58965,-117.7008125
Very Bright  *V* shaped light coming from aircraft. HUGE amount of Light uncomparable to a plane in the same vision of field.,Laguna Hills,CA,2005-09-22 19:30:00,unknown,10 minutes,"Very Bright  *V* shaped light coming from aircraft. HUGE amount of Light uncomparable to a plane in the same vision of field. My husband was on the phone with a coworker when his coworker made a comment about a strange object in the sky.  My husband went out on our balcony and called me up to see it.  I couldn't see the actual shape, and it flew in a straight line at the time I saw it, like any other aircraft.  It had a light coming from the back of it that was BRIGHT and in a V shape...(a *v* on it's side) We live close to the Santa Ana Airport and this was not ever seen before.  You could see other planes in the distance and it did not compare to this. Behind it moving my head to the right it was leaving a trail.  There were beautiful loops that had been left in it's wake.  It was dusk and it was surprising that an aircraft could leave such a lit up trail.  I went to get my camera as it was moving on and I came back in just a short second at it was gone...there was no immediate trail left, just the lit up loops.  My husband and I thought wow!  The amount of light coming from this aircraft was phenom.  Oh yeah...where the loops were located...the trees were in my vision but I could see where the loops might have started the color was quite red.  Could have something to do with sunset colors, but it was dusk at that point. ((NUFORC Note:  Vandenberg AFB missile launch.  PD))",33.58965,-117.7008125
"Five objects moving together in close formation, hovering, and then moving off in seperate directions.",Laguna Hills,CA,2006-08-01 21:00:00,unknown,5 minutes,"Five objects moving together in close formation, hovering, and then moving off in seperate directions. The event occurred just over one year ago, at the beginning of August 2006. At approximately 9 o’clock PM, I watched a red light approach from the south-east. It was high in the sky, so at first I thought it was possibly a commercial aircraft. As it began moving overhead, it began to slow down noticeably. At this point, I called to my wife to watch with me. Once it was directly overhead, it stopped entirely. It was at this time that I noticed that the red light was surrounded by four white lights. If the red light was a square, the four white lights would be at the corners, one light at each corner. They were high enough that I could not tell whether they were physically touching or simply in close proximity.  The five lights hovered for about thirty seconds. Then, simultaneously, the four white lights shot off in separate directions, each one traveling toward one of the four cardinal compass points. They moved fast enough that after only a second I could no longer see them, but slow enough that I could track their progress until my view of them was blocked by surrounding trees and houses.  The red light remained stationary for another thirty seconds to a minute, and then vanished. When I say vanished, I don’t mean that it moved off, or that it faded away. It simply disappeared, as if someone flicked a light switch.  I’m sorry that I could not describe the shape of the objects. If the event had occurred during the day, I don’t think I would have seen them at all. ((NUFORC Note:  Source of report indicates that date of the event is approximate.  PD))",33.58965,-117.7008125
"In so. california, four unidentified lights flew from the northwest in strange patterns, and then were followed by airplanes from NE.",Laguna Hills,CA,2000-09-06 22:55:00,light,~25 minutes,"In so. california, four unidentified lights flew from the northwest in strange patterns, and then were followed by airplanes from NE. I am a 21 year old college student.  At about 10:55 pm pacific time, I was standing on my front porch smoking a cigarette, when I noticed a bright yellow light in the sky to the north west.  It stayed there for about 65-70 seconds.  It then started to move to the east in a very strange pattern. First, it moved perfectly vertical, then perfectly horizontal, and then vertical, and so on, until it moved a great deal across the sky.  While this light was flying in this strange pattern, another bright yellow light appeared in the same spot that the original one had.  This started moving in the same pattern as the first one, but it did not travel as far neither vertically nor horizontally.  After a few seconds, it completly dissapeared.  After about a minute, another bright yellow light appeared in the same place.  Immediatly, it started move in the same direction as the other two, in a similar pattern, but this time more erratically.  It moved rapidly, and moved in the direction of other, stationary, flashing white lights.  It seemed to be flying in the direction of one light, then would change direction towards another light.  After about another minute, an airplane appeared over the horizon in the north west, and began to turn in order to alter it's course to follow the light.  After several minutes of the plane flying after the light, more airplanes began coming over the horizon from the north east in fairly regular intervals.  I saw about 10 or 12 planes fly in the direction of the light.  While these planes were flying, there were many more flashing white lights in the sky, which flickered for a couple minutes, then stopped. All of the planes had flown away, and then nothing more happened.",33.58965,-117.7008125
